Name,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,State_Name,Sex_Ratio,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Child_Population_Ratio,Work_Participation_Rate,Male_Work_Rate,Female_Work_Rate,SC_Population_Percent,ST_Population_Percent,Dependency_Ratio,Gender_Literacy_Gap,Gender_Work_Gap
SIKKIM,129006,610577,323070,287507,64111,32761,31350,28275,14454,13821,206360,105261,101099,444952,251269,193683,165625,71801,93824,308138,194358,113780,230397,160513,69884,82707,50586,32121,11582,7145,4437,2888,2056,832,133220,100726,32494,77741,33845,43896,34694,12741,21953,14404,5738,8666,2255,891,1364,26388,14475,11913,54465,23668,30797,22306,7911,14395,10322,4001,6321,1485,582,903,20352,11174,9178,23276,10177,13099,12388,4830,7558,4082,1737,2345,770,309,461,6036,3301,2735,302439,128712,173727,SIKKIM,889.9216887980933,72.8740191654779,77.77540471105333,67.36635977558807,10.500067968495374,50.46668970498397,60.159717708236606,39.57468861627717,4.630865558316151,33.797539049128936,0.981505039949633,10.40904493546526,20.585029091959434
ARUNACHAL PRADESH,270577,1383727,713912,669815,212188,107624,104564,0,0,0,951821,468390,483431,766005,439868,326137,617722,274044,343678,587657,350273,237384,478721,301109,177612,248120,130008,118112,20259,11921,8338,4728,2772,1956,205614,156408,49206,108936,49164,59772,54603,22855,31748,15912,6456,9456,3637,1376,2261,34784,18477,16307,89305,40342,48963,43835,18493,25342,12948,5097,7851,2614,983,1631,29908,15769,14139,19631,8822,10809,10768,4362,6406,2964,1359,1605,1023,393,630,4876,2708,2168,796070,363639,432431,ARUNACHAL PRADESH,938.2318829211443,55.35810170647822,61.61375631730521,48.690608600882335,15.334527692239872,42.46914311854867,49.063890227366954,35.44023349730896,0.0,68.78676212865689,1.3546507571593633,12.923147716422875,13.623656730057995
NAGALAND,396002,1978502,1024649,953853,291071,149785,141286,0,0,0,1710973,866027,844946,1342434,723957,618477,636068,300692,335376,974122,547357,426765,741179,442204,298975,420379,208221,212158,22571,12899,9672,9525,4731,4794,288704,216353,72351,232943,105153,127790,117323,51233,66090,40391,18958,21433,13313,4752,8561,61916,30210,31706,141978,61126,80852,65525,26077,39448,22788,10209,12579,8339,2750,5589,45326,22090,23236,90965,44027,46938,51798,25156,26642,17603,8749,8854,4974,2002,2972,16590,8120,8470,1004380,477292,527088,NAGALAND,930.9070715923209,67.85103072930934,70.6541459563226,64.83986526225739,14.711685911866654,49.23533056827842,53.4189756687412,44.74117080933855,0.0,86.47820421712993,1.0310618177189306,5.814280694065204,8.677804859402649
MANIPUR,557859,2855794,1438586,1417208,375357,194484,180873,97328,48863,48465,1167422,588279,579143,1908476,1039858,868618,947318,398728,548590,1304610,739408,565202,974163,615135,359028,466768,281162,185606,45609,24534,21075,45924,14009,31915,415862,295430,120432,330447,124273,206174,107263,45947,61316,69309,21498,47811,45432,6861,38571,108443,49967,58476,260231,98584,161647,82008,34783,47225,51290,15744,35546,35389,5180,30209,91544,42877,48667,70216,25689,44527,25255,11164,14091,18019,5754,12265,10043,1681,8362,16899,7090,9809,1551184,699178,852006,MANIPUR,985.1395745544584,66.8282095977511,72.2833393345966,61.29079147168235,13.14370014083649,45.68291690507088,51.39824800185738,39.8813723885273,3.4080889587974483,40.8790690084789,1.1890020772491396,10.992547862914257,11.516875613330079
MIZORAM,222853,1097206,555339,541867,168531,85561,82970,1218,807,411,1036115,516294,519821,848175,438529,409646,249031,116810,132221,486705,290740,195965,415030,263305,151725,202514,121598,80916,26464,16601,9863,5459,3109,2350,180593,121997,58596,71675,27435,44240,27089,7884,19205,15323,5887,9436,2393,785,1608,26870,12879,13991,53724,19626,34098,19136,4954,14182,11554,4196,7358,1831,595,1236,21203,9881,11322,17951,7809,10142,7953,2930,5023,3769,1691,2078,562,190,372,5667,2998,2669,610501,264599,345902,MIZORAM,975.740943819901,77.30316822912015,78.9660009471692,75.59899384904413,15.36001443666914,44.35857988381398,52.35360743617862,36.164778441942396,0.11100923618718819,94.43213033833209,1.2543553076298786,3.3670070981250717,16.188828994236225
TRIPURA,855556,3673917,1874376,1799541,458014,234008,224006,654918,334370,320548,1166813,588327,578486,2804783,1501369,1303414,869134,373007,496127,1469521,1045326,424195,1077019,887881,189138,246707,210117,36590,201863,156850,45013,19296,12814,6482,609153,508100,101053,392502,157445,235057,49240,18751,30489,151755,57256,94499,22200,4671,17529,169307,76767,92540,298562,126729,171833,40681,15605,25076,125005,47995,77010,16244,3405,12839,116632,59724,56908,93940,30716,63224,8559,3146,5413,26750,9261,17489,5956,1266,4690,52675,17043,35632,2204396,829050,1375346,TRIPURA,960.0747128644413,76.34312370148808,80.09967050367696,72.43035863033963,12.466639828825747,39.99875337412359,55.76928001638946,23.572399850850857,17.826151216807563,31.759372898190136,1.5000779165455955,7.669311873337335,32.1968801655386
MEGHALAYA,548059,2966889,1491832,1475057,568536,288646,279890,17355,9157,8198,2555861,1269728,1286133,1785005,913879,871126,1181884,577953,603931,1185619,703709,481910,921575,585520,336055,411270,243805,167465,114642,70460,44182,11969,6459,5510,383694,264796,118898,264044,118189,145855,83405,33525,49880,83722,35882,47840,8519,2941,5578,88398,45841,42557,209361,93536,115825,65580,25635,39945,66049,28469,37580,6048,2113,3935,71684,37319,34365,54683,24653,30030,17825,7890,9935,17673,7413,10260,2471,828,1643,16714,8522,8192,1781270,788123,993147,MEGHALAYA,988.7554362689632,60.16419893025995,61.2588414781289,59.05710762363759,19.16269870561386,39.961690511508856,47.17079403042702,32.67060188182558,0.5849561611506194,86.14616185506098,1.502396638380458,2.2017338544913088,14.500192148601435
ASSAM,6406471,31205576,15939443,15266133,4638130,2363485,2274645,2231321,1145314,1086007,3884371,1957005,1927366,19177977,10568639,8609338,12027599,5370804,6656795,11969690,8541560,3428130,8687123,7034642,1652481,3138554,2698384,440170,903294,705306,197988,242071,146566,95505,4403204,3484386,918818,3282567,1506918,1775649,923073,401379,521694,942052,423904,518148,249250,59178,190072,1168192,622457,545735,2697230,1251614,1445616,745491,328113,417378,772239,351027,421212,195248,46412,148836,984252,526062,458190,585337,255304,330033,177582,73266,104316,169813,72877,96936,54002,12766,41236,183940,96395,87545,19235886,7397883,11838003,ASSAM,957.7582478885868,61.45689155040753,66.30494553667904,56.39501503098394,14.86314497127052,38.357535845516836,53.58756890061967,22.45578497187205,7.150391968409749,12.447682427012403,1.6070496395478915,9.909930505695101,31.131783928747623
WEST BENGAL,20380315,91276115,46809027,44467088,10581466,5410396,5171070,21463270,11003304,10459966,5296953,2649974,2646979,61538281,33818810,27719471,29737834,12990217,16747617,34756355,26716047,8040308,25686630,21678279,4008351,4203767,3940399,263368,5869498,4943086,926412,1518128,869039,649089,14095237,11925755,2169482,9069725,5037768,4031957,912921,559642,353279,4319344,2509728,1809616,945996,245644,700352,2891464,1722754,1168710,7048294,4015867,3032427,698206,440464,257742,3300617,1982485,1318132,714472,190430,524042,2334999,1402488,932511,2021431,1021901,999530,214715,119178,95537,1018727,527243,491484,231524,55214,176310,556465,320266,236199,56519760,20092980,36426780,WEST BENGAL,949.9682187369542,67.41991702867722,72.24847890984788,62.33705026962863,11.592809356533195,38.07825847977864,57.074561707937235,18.081480847138,23.514662077806445,5.803219166372276,1.6261705233474568,9.911428640219249,38.99308086079924
JHARKHAND,6254781,32988134,16930315,16057819,5389495,2767147,2622348,3985644,2043458,1942186,8645042,4315407,4329635,18328069,10882519,7445550,14660065,6047796,8612269,13098274,8424769,4673505,6818595,5234442,1584153,2001362,1443959,557403,1238774,829585,409189,249048,142652,106396,3329411,2818246,511165,6279679,3190327,3089352,1813470,847223,966247,3197278,1512115,1685163,206114,82823,123291,1062817,748166,314651,4953539,2644953,2308586,1413020,692572,720448,2520760,1256606,1264154,156142,66038,90104,863617,629737,233880,1326140,545374,780766,400450,154651,245799,676518,255509,421009,49972,16785,33187,199200,118429,80771,19889860,8505546,11384314,JHARKHAND,948.4654597389357,55.55958090869887,64.27830196898286,46.36713117765246,16.337677663125778,39.706016714979995,49.76144271385382,29.104232648281815,12.082053504451025,26.20652019905097,1.5185099960498611,17.9111707913304,20.657210065572002
ODISHA,9637820,41974218,21212136,20762082,5273194,2716497,2556697,7188463,3617808,3570655,9590756,4727732,4863024,26742595,15089681,11652914,15231623,6122455,9109168,17541589,11902655,5638934,10707543,8794413,1913130,3279769,2924537,355232,2420540,1746831,673709,441486,315176,126310,4565748,3807869,757879,6834046,3108242,3725804,824220,450813,373407,4319453,1735005,2584448,341594,124039,217555,1348779,798385,550394,5597143,2610626,2986517,667541,380032,287509,3576371,1468309,2108062,266179,99662,166517,1087052,662623,424429,1236903,497616,739287,156679,70781,85898,743082,266696,476386,75415,24377,51038,261727,135762,125965,24432629,9309481,15123148,ODISHA,978.7831833625808,63.71195527692738,71.1370179787646,56.12594151203141,12.562935657312305,41.79134200903993,56.11247731015867,27.15977135626379,17.125900951865262,22.84915945307188,1.3928401241187442,15.011076466733194,28.952705953894878
CHHATTISGARH,5650724,25545198,12832895,12712303,3661689,1859935,1801754,3274269,1641738,1632531,7822902,3873191,3949711,15379922,8807893,6572029,10165276,4025002,6140274,12180225,7133866,5046359,8241714,5597454,2644260,3038094,2057774,980320,2505999,1390758,1115241,136696,91724,44972,2560925,2057198,503727,3938511,1536412,2402099,966702,366251,600451,2585883,953791,1632092,50935,21632,29303,334991,194738,140253,3177960,1256033,1921927,757656,285664,471992,2134607,803768,1330839,39046,16700,22346,246651,149901,96750,760551,280379,480172,209046,80587,128459,451276,150023,301253,11889,4932,6957,88340,44837,43503,13364973,5699029,7665944,CHHATTISGARH,990.6028998133313,60.20670499402666,68.63527676334918,51.698177741672765,14.33415783271674,47.68107493236107,55.5904649730244,39.69665449289558,12.817551854559905,30.623767331926725,1.097268153913413,16.937099021676417,15.89381048012882
MADHYA PRADESH,15093256,72626809,37612306,35014503,10809395,5636172,5173223,11342320,5908638,5433682,15316784,7719404,7597380,42851169,25174328,17676841,29775640,12437978,17337662,31574133,20146970,11427163,22702119,16362065,6340054,8214993,6038749,2176244,6630821,4027711,2603110,647565,396320,251245,7208740,5899285,1309455,8872014,3784905,5087109,1629446,552315,1077131,5561446,2282946,3278500,311694,114728,196966,1369428,834916,534512,7309526,3146582,4162944,1292775,425808,866967,4670315,1945081,2725234,243053,89797,153256,1103383,685896,417487,1562488,638323,924165,336671,126507,210164,891131,337865,553266,68641,24931,43710,266045,149020,117025,41052676,17465336,23587340,MADHYA PRADESH,930.9320997228939,59.00186114469107,66.93109430727273,50.48434073161056,14.883477807761041,43.47448749951275,53.56483593428172,32.63551391833264,15.617263316635595,21.089710825653928,1.300199628601045,16.44675357566217,20.929322015949076
GUJARAT,12248428,60439692,31491260,28948432,7777262,4115384,3661878,4074447,2110331,1964116,8917174,4501389,4415785,41093358,23474873,17618485,19346334,8016387,11329947,24767747,18000914,6766833,20365374,16567695,3797679,4746956,4075047,671909,4491751,3008961,1482790,252213,182101,70112,10874454,9301586,1572868,4402373,1433219,2969154,700544,169402,531142,2347664,640630,1707034,91786,28460,63326,1262379,594727,667652,3930530,1249781,2680749,615442,142388,473054,2111998,561858,1550140,77737,23957,53780,1125353,521578,603775,471843,183438,288405,85102,27014,58088,235666,78772,156894,14049,4503,9546,137026,73149,63877,35671945,13490346,22181599,GUJARAT,919.2528974705998,67.99068069374013,74.54408937590938,60.86162110611034,12.86780548120596,40.979274017478446,57.16161881106059,23.375473324427382,6.741343089571005,14.75383759401024,1.44025796936637,13.682468269799038,33.78614548663321
