Name,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,State_Name,Sex_Ratio,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Child_Population_Ratio,Work_Participation_Rate,Male_Work_Rate,Female_Work_Rate,SC_Population_Percent,ST_Population_Percent,Dependency_Ratio,Gender_Literacy_Gap,Gender_Work_Gap
DAMAN & DIU,60956,243247,150301,92946,26934,14144,12790,6124,3151,2973,15363,7771,7592,188406,124643,63763,54841,25658,29183,121271,107434,13837,116435,104614,11821,1649,1300,349,491,272,219,380,295,85,113915,102747,11168,4836,2820,2016,667,192,475,281,90,191,304,37,267,3584,2501,1083,3575,1923,1652,593,169,424,226,72,154,235,30,205,2521,1652,869,1261,897,364,74,23,51,55,18,37,69,7,62,1063,849,214,121976,42867,79109,DAMAN & DIU,618.3990791811099,77.45460375667531,82.92892262859196,68.60219912637446,11.072695655033773,49.85508557145618,71.4792316751053,14.887138768747446,2.517605561425218,6.3158024559398465,1.0058134261282583,14.326723502217504,56.59209290635785
DADRA & NAGAR HAVELI,76458,343709,193760,149949,50895,26431,24464,6186,3339,2847,178564,88844,89720,223230,142521,80709,120479,51239,69240,157161,119293,37868,130299,109125,21174,22707,16486,6221,6184,3119,3065,1566,1151,415,99842,88369,11473,26862,10168,16694,5457,1810,3647,11615,2334,9281,629,218,411,9161,5806,3355,22915,8364,14551,4742,1462,3280,9763,1845,7918,541,185,356,7869,4872,2997,3947,1804,2143,715,348,367,1852,489,1363,88,33,55,1292,934,358,186548,74467,112081,DADRA & NAGAR HAVELI,773.8903798513626,64.94738281511395,73.55542939719241,53.82430026208911,14.807584322784681,45.72501738389161,61.5674029727498,25.25391966601978,1.7997783008300627,51.95208737623979,1.1869865933660386,19.731129135103302,36.31348330673002
MAHARASHTRA,24421519,112374333,58243056,54131277,13326517,7035391,6291126,13275898,6767759,6508139,10510213,5315025,5195188,81554290,45257584,36296706,30820043,12985472,17834571,49427878,32616875,16811003,43762890,29989314,13773576,11478075,7181136,4296939,11068928,5846810,5222118,991310,606540,384770,20224577,16354828,3869749,5664988,2627561,3037427,1091298,411177,680121,2417212,927728,1489484,234116,84215,149901,1922362,1204441,717921,4828248,2239979,2588269,910274,337726,572548,2102263,808648,1293615,179677,65772,113905,1636034,1027833,608201,836740,387582,449158,181024,73451,107573,314949,119080,195869,54439,18443,35996,286328,176608,109720,62946455,25626181,37320274,MAHARASHTRA,929.403103436056,72.5737700262924,77.70468637497319,67.05311238085146,11.859039910830884,43.98502458742069,56.00131112625684,31.055988204379513,11.813994927115608,9.352859073254743,1.27350105946284,10.651573994121733,24.945322921877324
ANDHRA PRADESH,21022588,84580777,42442146,42138631,9142802,4714950,4427852,13878078,6913047,6965031,5918073,2969362,2948711,50556760,28251243,22305517,34024017,14190903,19833114,39422906,24185595,15237311,33037378,21460081,11577297,6087607,4183319,1904288,13201989,6787204,6414785,1164314,549534,614780,12583468,9940024,2643444,6385528,2725514,3660014,403915,173985,229930,3765765,1342818,2422947,274823,93558,181265,1941025,1115153,825872,5547424,2378533,3168891,348104,148236,199868,3285579,1178463,2107116,221173,74105,147068,1692568,977729,714839,838104,346981,491123,55811,25749,30062,480186,164355,315831,53650,19453,34197,248457,137424,111033,45157871,18256551,26901320,ANDHRA PRADESH,992.8487357825875,59.77334542575791,66.56412472639815,52.933653682294526,10.809550732786482,46.60977044464843,56.984854158882534,36.159957355994784,16.408075797175524,6.996948018105815,1.145472913640613,13.630471044103622,20.82489680288775
KARNATAKA,13357027,61095297,30966657,30128640,7161033,3675291,3485742,10474992,5264545,5210447,4248987,2134754,2114233,40647322,22508471,18138851,20447975,8458186,11989789,27872597,18270116,9602481,23397181,16349837,7047344,6038309,4568505,1469804,5119921,2609098,2510823,695841,353513,342328,11543110,8818721,2724389,4475416,1920279,2555137,542340,185203,357137,2036042,674181,1361861,217386,85470,131916,1679648,975425,704223,3931647,1668094,2263553,474719,159098,315621,1872930,615496,1257434,173605,67193,106412,1410393,826307,584086,543769,252185,291584,67621,26105,41516,163112,58685,104427,43781,18277,25504,269255,149118,120137,33222700,12696541,20526159,KARNATAKA,972.9380862777665,66.5310162908284,72.68615078469723,60.20467900310137,11.721087140308034,45.62150995026671,58.9993165875154,31.87160455964823,17.145332806877096,6.954687526930265,1.1919484933535256,12.481471781595864,27.127712027867172
GOA,343611,1458545,739140,719405,144611,74460,70151,25449,12627,12822,149275,72948,76327,1165487,615823,549664,293058,123317,169741,577248,419536,157712,476053,356967,119086,24062,14866,9196,10758,6532,4226,10780,7951,2829,430453,327618,102835,101195,62569,38626,7292,3982,3310,16002,8284,7718,3928,1866,2062,73973,48437,25536,80846,50303,30543,5569,3111,2458,11105,5797,5308,2943,1496,1447,61229,39899,21330,20349,12266,8083,1723,871,852,4897,2487,2410,985,370,615,12744,8538,4206,881297,319604,561693,GOA,973.3000514110994,79.9075105670377,83.31615120274914,76.40536276506279,9.914743802899464,39.57697568467206,56.76001839976188,21.922561005275192,1.744821037403714,10.234514533319164,1.526721617051943,6.9107884376863495,34.83745739448669
LAKSHADWEEP,11574,64473,33123,31350,7255,3797,3458,0,0,0,61120,30515,30605,52553,28023,24530,11920,5100,6820,18753,15318,3435,10804,9137,1667,0,0,0,0,0,0,97,66,31,10707,9071,1636,7949,6181,1768,0,0,0,0,0,0,167,68,99,7782,6113,1669,5362,4265,1097,0,0,0,0,0,0,121,42,79,5241,4223,1018,2587,1916,671,0,0,0,0,0,0,46,26,20,2541,1890,651,45720,17805,27915,LAKSHADWEEP,946.4722398333483,81.51164053169543,84.60284394529481,78.24561403508771,11.25277247840181,29.08659438834861,46.24581106783806,10.956937799043063,0.0,94.79937338110527,2.4380099184130537,6.357229910207096,35.288873268795
KERALA,7853754,33406061,16027412,17378649,3472955,1768244,1704711,3039573,1477808,1561765,484839,238203,246636,28135824,13704903,14430921,5270237,2322509,2947728,11619063,8451569,3167494,9329747,7179828,2149919,544932,465546,79386,919136,629092,290044,198281,132111,66170,7667398,5953079,1714319,2289316,1271741,1017575,125321,81360,43961,403714,228903,174811,74741,32504,42237,1685540,928974,756566,1828203,1061697,766506,99718,65980,33738,322129,189591,132538,57615,25818,31797,1348741,780308,568433,461113,210044,251069,25603,15380,10223,81585,39312,42273,17126,6686,10440,336799,148666,188133,21786998,7575843,14211155,KERALA,1084.3078720382305,84.2237101824127,85.50914520697415,83.03822121040594,10.396182297577676,34.78130211161382,52.73196321402357,18.226353498479657,9.098866819407412,1.4513504001564268,1.875108001393916,2.4709239965682173,34.50560971554391
TAMIL NADU,18524982,72147030,36137975,36009055,7423832,3820276,3603556,14438445,7204687,7233758,794697,401068,393629,51837507,28040491,23797016,20309523,8097484,12212039,32884681,21434978,11449703,27942181,18961194,8980987,3855375,2512165,1343210,7234101,3808523,3425578,1119458,514637,604821,15733247,12125869,3607378,4942500,2473784,2468716,393082,220314,172768,2372446,1034184,1338262,245435,76495,168940,1931537,1142791,788746,4219345,2137221,2082124,348147,196962,151185,2040284,903104,1137180,187272,59371,127901,1643642,977784,665858,723155,336563,386592,44935,23352,21583,332162,131080,201082,58163,17124,41039,287895,165007,122888,39262349,14702997,24559352,TAMIL NADU,996.4325615920649,71.84981419193555,77.59286733692188,66.08619970726808,10.289865015926503,45.58008971401872,59.31427535715545,31.79673279401528,20.012528582257648,1.101496485718123,1.1939403943130846,11.506667629653805,27.51754256314017
PUDUCHERRY,302450,1247953,612511,635442,132858,67527,65331,196325,95512,100813,0,0,0,957309,497378,459931,290644,115133,175511,444968,332931,112037,399689,306409,93280,10763,9187,1576,50607,33410,17197,6373,3520,2853,331946,260292,71654,45279,26522,18757,1336,846,490,17784,9384,8400,1519,527,992,24640,15765,8875,35827,21411,14416,1082,689,393,13607,7396,6211,1116,392,724,20022,12934,7088,9452,5111,4341,254,157,97,4177,1988,2189,403,135,268,4618,2831,1787,802985,279580,523405,PUDUCHERRY,1037.437694996498,76.71034085418282,81.20311308694865,72.37969791106033,10.646074010800085,35.65582998718702,54.355105459330524,17.631349517343832,15.731762333998155,0.0,1.8045904424587835,8.823415175888314,36.723755941986695
ANDAMAN & NICOBAR ISLANDS,94551,380581,202871,177710,40878,20770,20108,0,0,0,28530,14731,13799,294281,164377,129904,86300,38494,47806,152535,120889,31646,125910,103619,22291,12997,10816,2181,2680,2340,340,1390,969,421,108843,89494,19349,26625,17270,9355,3570,1847,1723,2101,1404,697,2337,1293,1044,18617,12726,5891,21099,13856,7243,2864,1574,1290,1614,1121,493,1778,1011,767,14843,10150,4693,5526,3414,2112,706,273,433,487,283,204,559,282,277,3774,2576,1198,228046,81982,146064,ANDAMAN & NICOBAR ISLANDS,875.9753735132177,77.32414387475991,81.02538066061685,73.09886894378482,10.740946079809554,40.07951001232327,59.58909849115941,17.807664171965563,0.0,7.496433085203938,1.4950404825122103,7.9265117168320245,41.78143431919385
